"pred"	"se"
"1"	1491055.68894705	34745.6981292603
"2"	1440487.30147275	43204.0932106295
"3"	1631962.18209902	52031.0091956312
"4"	1595506.62970466	58983.0964243754
"5"	1675255.32809694	65388.2509517891
"6"	1632696.23905085	71155.5499579832
"7"	1761905.49063922	76511.0023050553
"8"	1730665.05199063	81507.8845738617
"9"	1627403.66834222	86218.2280395218
"10"	1720479.76735243	90683.3358111816
"11"	1690764.32570654	94938.9886538186
"12"	1774082.06623462	99011.7868458112
